"","id","batch","duration_in_seconds_sc","duration_in_seconds_b","prac2_1_sc","arctic2_1_sc","temp2_1_sc","ozone2_1_sc","air_qual2_1_sc","dia_tho2_1_sc","quake2_1_sc","co22_1_sc","ice_sheets2_1_sc","act10c2_1_sc","share_freq2_1_sc","news1_1_sc","news1_2_sc","news1_3_sc","news1_4_sc","news1_5_sc","news1_6_sc","news1_7_sc","news1_8_sc","news1_9_sc","news1_10_sc","news1_11_sc","news1_12_sc","act1b_sc","act1c_sc","act2b_sc","act2c_sc","act3b_sc","act3c_sc","act4b_sc","act4c_sc","act5b_sc","act5c_sc","act6b_sc","act6c_sc","act7b_sc","act7c_sc","act8b_sc","act8c_sc","act_scib_sc","act_scic_sc","act10b_sc","act10c_sc","act10c1_4_sc","act10c1_2_sc","act10c1_5_sc","act10c1_3_sc","act10c1_1_sc","act10c1_6_sc","act10c1_6_text_sc","act10c2_4_sc","act10c2_2_sc","act10c2_5_sc","act10c2_3_sc","act10c2_6_sc","act10c2_6_text_sc","books_8_sc","books_11_sc","books_10_sc","books_7_sc","books_1_sc","books_3_sc","books_5_sc","books_6_sc","books_9_sc","books_4_sc","books_2_sc","convo_1_sc","convo_2_sc","convo_3_sc","convo_4_sc","convo_5_sc","convo_6_sc","convo_7_sc","convo_8_sc","convo_9_sc","convo_10_sc","convo_11_sc","share_freq1_sc","share_freq2_11_sc","share_freq2_2_sc","share_freq2_3_sc","share_freq2_4_sc","share_freq2_5_sc","share_freq2_6_sc","share_freq2_7_sc","share_freq2_8_sc","share_freq2_9_sc","share_freq2_10_sc","read_article_sc","topic_interest_1_sc","topic_interest_2_sc","topic_interest_3_sc","topic_interest_4_sc","topic_interest_5_sc","topic_interest_6_sc","topic_interest_7_sc","topic_interest_8_sc","topic_interest_9_sc","prac1_1_sc","arctic1_1_sc","temp1_1_sc","ozone1_1_sc","air_qual1_1_sc","dia_tho1_1_sc","quake1_1_sc","co21_1_sc","ice_sheets1_1_sc","prac_time_page_submit_sc","arctic_time_page_submit_sc","temp_time_page_submit_sc","ozone_time_page_submit_sc","air_qual_time_page_submit_sc","dia_tho_time_page_submit_sc","quake_time_page_submit_sc","co2time_page_submit_sc","ice_sheets_time_page_submit_sc","rav_training_b","ravens_rt_first_click_b","ravens_rt_last_click_b","ravens_rt_page_submit_b","ravens_rt_click_count_b","ravens1_b","ravens2_b","ravens3_b","ravens4_b","ravens5_b","ravens6_b","ravens7_b","ravens8_b","ravens9_b","ravens10_b","rav_conf_b","rav_place_1_b","cc_risk_sc","ccr1_b","ccr2_b","ccr3_b","ccr4_b","ccr5_b","ccr6_b","dem_age_b","dem_gender_1_b","dem_gender_2_b","dem_gender_5_b","dem_gender_3_b","dem_gender_4_b","dem_gender_3_text_b","dem_race_1_b","dem_race_2_b","dem_race_3_b","dem_race_4_b","dem_race_5_b","dem_race_6_b","dem_race_7_b","dem_race_8_b","dem_race_9_b","dem_race_8_text_b","dem_lang_b","dem_ed_b","dem_zip_b","dem_h_hnum_b","dem_inc_b","dem_annes_id_b","dem_annes_id2_b","dem_annes_party_b","dem_annes_party_4_text_b","dem_annes_party_str_b","dem_annes_party_lean_b","dem_cheat_8_b","dem_cheat_10_b","dem_cheat_11_b","dem_cheat_9_b","dem_conf_b","dem_meta_info_browser_b","dem_meta_info_version_b","dem_meta_info_operating_system_b","dem_meta_info_resolution_b","start_date_sc","start_date_b","end_date_sc","end_date_b","finished_sc","finished_b","consent1_sc","consent_b","consent_t_first_click_b","consent_t_last_click_b","consent_t_page_submit_b","consent_t_click_count_b","open1_sc","open2_sc","fl_21_do_fl_83_sc","fl_21_do_fl_84_sc","fl_21_do_fl_85_sc","fl_21_do_fl_93_sc","fl_29_do_mr2temp_sc","fl_29_do_mr3ozone_sc","fl_29_do_mr4air_qual_sc","fl_29_do_mr5dia_tho_sc","fl_29_do_mr6quake_sc","fl_29_do_mr7co2_sc","fl_29_do_mr8ice_sheets_sc","fl_39_do_mr1arctic_sc","fl_39_do_mr3ozone_sc","fl_39_do_mr4air_qual_sc","fl_39_do_mr5dia_tho_sc","fl_39_do_mr6quake_sc","fl_39_do_mr7co2_sc","fl_39_do_mr8ice_sheets_sc","fl_47_do_mr1arctic_sc","fl_47_do_mr2temp_sc","fl_47_do_mr4air_qual_sc","fl_47_do_mr5dia_tho_sc","fl_47_do_mr6quake_sc","fl_47_do_mr7co2_sc","fl_47_do_mr8ice_sheets_sc","fl_95_do_mr1arctic_sc","fl_95_do_mr2temp_sc","fl_95_do_mr3ozone_sc","fl_95_do_mr5dia_tho_sc","fl_95_do_mr6quake_sc","fl_95_do_mr7co2_sc","fl_95_do_mr8ice_sheets_sc","duration_z","duration_ex","conservatism","ideology_lean","ideology_lean2","conservatism_f","con","party","party_str","party_lean","batchcon","gender_b","race_b","sc_likert","sc_books","sc_lecture","sc_scimu","sc_scimu_c19","sc_read","sc_share_yn","sc_share_tech_na","sc_share_tech","sc_share_sci_na","sc_share_sci","sc_score1","sc_score2a","sc_score2b","sc_scored","sc_scoredz","rav1_0","rav2_0","rav3_0","rav4_0","rav5_0","rav6_0","rav7_0","rav8_0","rav9_0","rav10_0","rav_scored","rav_scoredz","arctic20","arctic20_z","temp20","temp20_z","ozone20","ozone20_z","airqual20","airqual20_z","diatho20","diatho20_z","co220","co220_z","icesheets20","icesheets20_z","quake20","arctic20_eb","arctic20_eb_z","temp20_eb","temp20_eb_z","ozone20_eb","ozone20_eb_z","airqual20_eb","airqual20_eb_z","diatho20_eb","diatho20_eb_z","co220_eb","co220_eb_z","icesheets20_eb","icesheets20_eb_z","quake20_eb","arctic20_yn","temp20_yn","ozone20_yn","airqual20_yn","diatho20_yn","co220_yn","icesheets20_yn","quake20_yn","n_plot_score","n_plot_score_z","nq_plot_score","nq_plot_score_z","bad_plot_score","bad_plot_score_q","attn_check","attn_check_12"
"1","A2VAL2BRKVSUB5","lib1",791,1471,5,2,6,2,2,2,5,7,1,NA,11,4,4,3,2,1,3,4,4,4,4,4,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,4,3,2,2,3,2,4,4,4,3,2,3,4,5,7,10,3,9,2,1,8,6,13,3,4,4,1,4,4,4,3,4,5,3,5,3,3,3,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16.843,170.164,180.057,11,1,1,1,1,1,0,1,1,1,0,5,55,11,11,9,1,5,11,6,44,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,8844,0,5,3,NA,3,"",NA,2,NA,NA,NA,1,"No issues at all.

MTURK ID: A2VAL2BRKVSUB5","Chrome","92.0.4515.131","Windows NT 10.0","1680x1050","7/13/22 16:04","8/16/21 17:06","7/13/22 16:17","8/16/21 17:30",1,1,1,1,4.787,4.787,6.998,1,"I was thinking about what things I was interested in given the different scenarios. I was feeling determined and alert, trying to do the best I could, so you could have reliable data. 

MTURK ID: A2VAL2BRKVSUB5","None",1,NA,NA,NA,1,3,7,6,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186691679673802,"0",3,NA,NA,3,-1,3,NA,2,-1,1,1,24,0,0,0,0,0,1,5,5,2,2,24,7,7,31,1.05842181327939,1,1,1,1,1,0,1,1,1,0,8,1.49840182633532,-2,-0.448133329856708,-2,-0.307641123435552,-2,-1.22119376944356,-2,-0.725591206313718,-2,-1.36914922343113,-3,-0.901639166988617,-3,-0.77305536454377,1,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,1,0,0,0,0,0,0,0,1,0,-0.566215291281673,1,0.173351613842453,0,0,0,1
"2","ADJ9I7ZBFYFH7","lib1",1061,1088,6,2,6,3,3,3,4,7,1,NA,NA,3,2,1,1,1,3,4,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,2,3,2,2,2,2,3,3,3,2,1,2,8,6,5,NA,3,NA,4,1,7,2,2,4,3,3,2,3,2,4,3,4,4,3,5,4,4,4,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10.042,164.282,180.118,9,1,1,1,1,1,1,1,1,1,NA,7,85,11,11,8,1,4,9,8,32,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,8882,4,7,1,NA,3,"",NA,4,NA,NA,NA,1,"I understood everything.","Chrome","92.0.4515.131","Windows NT 10.0","1536x864","7/13/22 16:04","8/16/21 18:51","7/13/22 16:22","8/16/21 19:09",1,1,1,1,3.576,3.576,4.571,1,"I was thinking about how often I talk with or others, or share on social media, about the different topics. I generally don't share much, so the questions were difficult to answer. I was also thinking about the graphs from the beginning of the study. I wasn't really """"""""feeling"""""""" anything.","Nothing else.",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216291735548543,"0",1,NA,NA,1,-1,3,NA,4,-1,1,1,19,1,0,0,0,1,1,NA,0,4,4,21,4,4,25,0.0519015950469751,1,1,1,1,1,1,1,1,1,0,9,2.12427274302768,-2,-0.448133329856708,-2,-0.307641123435552,-1,-0.510035718562005,-1,-0.0914315251897739,-1,-0.565776414454729,-3,-0.901639166988617,-3,-0.77305536454377,0,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,0,0,0,0,0,0,0,0,0,0,-0.566215291281673,0,-0.746091749772908,0,0,1,0
"3","A2TXZVXQU5FQZ9","lib1",384,768,6,3,5,3,3,5,4,5,3,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,14,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.676,145.205,180.121,11,1,1,1,1,1,1,0,0,0,1,5,51,10,11,10,1,1,11,10,35,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,79912,0,3,2,NA,1,"",2,NA,NA,NA,NA,1,"","Chrome","92.0.4515.131","Windows NT 10.0","1280x720","7/13/22 16:16","8/16/21 17:07","7/13/22 16:22","8/16/21 17:20",1,1,1,1,4.266,4.266,5.426,1,"tedious","no",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,1,7,5,4,NA,NA,NA,NA,NA,NA,NA,-0.500716076948109,"0",2,NA,NA,2,-1,1,2,NA,-1,1,1,14,0,0,1,0,0,0,NA,0,NA,0,15,0,0,15,-1.62563210200704,1,1,1,1,1,1,0,0,0,1,7,0.87253090964295,-1,0.311867082220029,-1,0.554710419458922,-1,-0.510035718562005,-1,-0.0914315251897739,1,1.04096920349807,-1,1.06921654751983,-1,0.903188932923884,0,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,1,0.94534758274061,0,-0.170805777263717,0,-0.226220651346378,0,0,0,0,0,1,0,0,0,1,0.547684609021545,1,0.173351613842453,0,0,1,0
"4","A1969Q0R4Y0E3J","lib1",1149,2722,6,1,2,4,3,5,4,6,2,NA,NA,1,1,2,1,1,3,3,4,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,3,2,4,4,1,1,2,NA,NA,NA,NA,3,4,1,2,NA,NA,11,1,4,4,4,2,4,4,4,2,4,2,3,3,3,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.297,143.9,180.069,31,0,1,1,1,1,1,0,0,0,0,8,70,11,11,11,1,9,11,1,25,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,20602,0,6,3,NA,1,"",2,NA,NA,NA,NA,1,"","Chrome","92.0.4515.131","Windows NT 10.0","1366x768","7/13/22 16:05","8/16/21 17:17","7/13/22 16:24","8/16/21 18:02",1,1,1,1,327.847,328.444,329.36,2,"I was just focused on the questions at hand. I carefully read each question and answered it to the best of my ability. I did this for the entire study and paid full attention throughout it.","No.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,3,5,6,1,0.0895263405330829,"0",3,NA,NA,3,-1,1,2,NA,-1,3,1,17,0,0,0,0,0,1,2,2,NA,0,17,2,2,19,-0.954618623185435,0,1,1,1,1,1,0,0,0,0,5,-0.379210923741784,-3,-1.20813374193344,2,3.14176504814234,0,0.201122332319553,-1,-0.0914315251897739,1,1.04096920349807,-2,0.083788690265609,-2,0.0650667841900569,0,0,-0.335962011131714,2,4.71838329667416,0,-0.580264937352228,0,-0.508650450010121,1,0.94534758274061,0,-0.170805777263717,0,-0.226220651346378,0,0,1,1,0,1,0,0,0,1,0.547684609021545,1,0.173351613842453,0,0,1,0
"5","AMTTB8JUWRRM7","lib1",261,579,3,2,6,3,2,5,4,6,1,NA,11,1,2,2,2,1,3,2,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,1,1,1,2,1,1,2,1,1,9,8,10,1,7,4,5,6,3,2,12,1,1,4,1,3,1,1,3,2,3,3,5,3,3,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.614,105.508,180.011,10,1,1,1,1,1,0,1,0,0,1,7,66,11,11,8,1,1,11,8,25,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1886,2,12,1,NA,1,"",1,NA,NA,NA,NA,1,"","Chrome","90.0.4430.72","Macintosh","1680x1050","7/13/22 16:20","8/16/21 17:47","7/13/22 16:24","8/16/21 17:57",1,1,1,1,2.345,2.345,2.601,1,"I was basically just bored. I just through about how to answer the questions.","",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,1,7,3,6,NA,NA,NA,NA,NA,NA,NA,-0.595617798974497,"0",1,NA,NA,1,-1,1,1,NA,-1,3,1,19,1,0,0,0,0,0,2,2,5,5,20,7,7,27,0.387408334457779,1,1,1,1,1,0,1,0,0,1,7,0.87253090964295,-2,-0.448133329856708,-2,-0.307641123435552,-1,-0.510035718562005,-2,-0.725591206313718,1,1.04096920349807,-2,0.083788690265609,-3,-0.77305536454377,0,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,1,0.94534758274061,0,-0.170805777263717,0,-0.226220651346378,0,0,0,0,0,1,0,0,0,1,0.547684609021545,1,0.173351613842453,0,0,0,1
"6","A2615YW1YERQBO","lib1",1128,1177,3,3,5,4,6,4,4,6,3,NA,5,2,2,2,1,1,2,1,2,1,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,1,3,2,3,3,3,1,2,9,6,4,NA,2,1,7,3,10,4,2,2,2,3,1,3,2,2,2,1,4,3,4,4,5,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.912,178.478,180.11,10,1,1,1,1,1,1,0,1,0,0,5,50,9,7,7,3,3,9,6,56,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,95623,0,2,4,1,3,"",NA,4,NA,NA,NA,1,"no problems.","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","7/13/22 16:22","8/16/21 17:07","7/13/22 16:41","8/16/21 17:26",1,1,1,1,25.696,25.696,26.99,1,"I was feeling that some of these pages are awkwardly hard to navigate.","no comments",1,NA,NA,NA,7,6,2,1,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733236075041875,"0",4,1,4.5,4.5,1,3,NA,4,-1,1,1,18,0,0,0,0,1,1,1,1,5,5,19,6,6,25,0.0519015950469751,1,1,1,1,1,1,0,1,0,0,7,0.87253090964295,-1,0.311867082220029,-1,0.554710419458922,0,0.201122332319553,2,1.81104751818206,0,0.237596394521671,-2,0.083788690265609,-1,0.903188932923884,0,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,2,2.11211044004202,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,0,0,0,1,1,1,0,0,0,0,-0.566215291281673,0,-0.746091749772908,0,0,0,0
"7","A1DZMZTXWOM9MR","lib1",1048,1236,2,3,6,3,2,2,5,6,1,NA,7,1,3,1,2,1,2,2,1,2,2,4,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,3,2,2,3,2,3,4,1,3,3,3,10,5,8,4,3,9,10,1,6,2,13,2,4,4,2,4,1,2,4,2,3,4,5,4,2,3,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,18.497,141.377,180.108,7,1,1,0,1,0,1,0,NA,NA,NA,6,37,8,10,9,6,9,9,1,39,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,72758,2,7,3,NA,3,"",NA,4,NA,NA,NA,1,"There were no issues with understanding the various tasks.","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","7/13/22 16:26","8/16/21 18:29","7/13/22 16:43","8/16/21 18:50",1,1,1,1,20.835,20.835,21.643,1,"I simply was thinking about the nature of the questions that I was being asked during this study.","none",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2,1,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115989102512524,"0",3,NA,NA,3,-1,3,NA,4,-1,1,2,23,0,0,0,1,0,1,5,5,5,5,24,10,10,34,1.56168192239559,1,1,0,1,0,1,0,0,0,0,4,-1.00508184043415,-1,0.311867082220029,-2,-0.307641123435552,-1,-0.510035718562005,-2,-0.725591206313718,-2,-1.36914922343113,-2,0.083788690265609,-3,-0.77305536454377,1,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,1,0,0,0,0,0,0,0,1,0,-0.566215291281673,1,0.173351613842453,0,0,0,0
"8","A26B6SWLH19YX6","lib1",1333,1709,6,1,7,5,7,5,6,7,1,NA,11,4,3,3,2,1,2,3,2,2,4,1,2,0,2,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,2,4,3,1,2,3,2,2,1,5,4,6,7,2,9,10,8,3,2,2,1,4,1,3,2,4,3,3,6,2,6,3,7,5,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11.772,157.285,180.011,8,1,1,1,1,1,0,0,NA,NA,NA,5,40,11,11,11,5,8,9,1,29,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,71047,2,1,3,NA,1,"",2,NA,NA,NA,NA,1,"I did not have any difficulty. Thank you! I hope you have a great day! :)","Chrome","92.0.4515.131","Windows NT 10.0","2048x1152","7/13/22 16:37","8/16/21 18:04","7/13/22 16:59","8/16/21 18:33",1,1,1,1,5.893,5.893,7.318,1,"I was thinking about what matters to me the most out of the list. I also payed attention what does not interest me. I tried to answer as accurately as possible. I felt calm and enjoyed participating in this study.","I enjoyed participating in this study! Thank you. I hope that you have a great day! :)",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,3,2,4,5,6,0.231493144214834,"0",3,NA,NA,3,-1,1,2,NA,-1,3,1,21,0,0,0,0,1,1,2,2,1,1,22,3,3,25,0.0519015950469751,1,1,1,1,1,0,0,0,0,0,5,-0.379210923741784,-3,-1.20813374193344,-3,-1.16999266633002,1,0.912280383201111,3,2.445207199306,1,1.04096920349807,-3,-0.901639166988617,-3,-0.77305536454377,1,0,-0.335962011131714,0,-0.252688492032209,1,0.675428387077993,3,3.4224908850681,1,0.94534758274061,0,-0.170805777263717,0,-0.226220651346378,1,0,0,1,1,1,0,0,1,1,0.547684609021545,2,1.09279497745781,0,0,1,1
"9","A8KX1HFH8NE2Q","lib1",901,1187,6,3,7,3,2,2,4,7,1,NA,NA,4,4,2,2,1,3,4,2,3,3,4,4,2,2,0,1,1,0,0,0,0,3,0,15,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,3,1,2,2,3,4,3,3,2,1,3,8,1,6,4,NA,NA,2,7,5,13,2,4,3,1,3,2,4,3,4,3,4,6,4,3,3,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.628,167.635,180.016,23,1,1,1,1,1,1,1,1,0,0,7,80,11,11,11,1,2,11,9,55,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,94598,3,14,2,NA,1,"",1,NA,NA,NA,NA,1,"I did NOT have any difficulty understanding any of the tasks in this experiment.","Chrome","92.0.4515.131","Windows NT 10.0","1366x768","7/13/22 17:06","8/16/21 18:25","7/13/22 17:21","8/16/21 18:44",1,1,1,1,4.684,10.445,11.541,3,"I was thinking about the impact of climate change as I was looking at each graph which just reinforced how bad the situation is and that it is going to take some strong leadership in the near term to attempt to mitigate the impacts that we are currently experiencing.","I appreciate that you are studying climate change.  Please keep researching as this issue is only going to get more and more challenging in the near future and we need as much potential research as possible.  Thanks for the opportunity to participate, good luck with your research and stay safe!",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101820220951016,"0",2,NA,NA,2,-1,1,1,NA,-1,1,1,22,0,0,1,0,0,0,NA,0,2,2,23,2,2,25,0.0519015950469751,1,1,1,1,1,1,1,1,0,0,8,1.49840182633532,-1,0.311867082220029,-3,-1.16999266633002,-1,-0.510035718562005,-2,-0.725591206313718,-2,-1.36914922343113,-3,-0.901639166988617,-3,-0.77305536454377,0,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,0,0,0,0,0,0,0,0,0,0,-0.566215291281673,0,-0.746091749772908,0,0,1,0
"10","A7SXWHGK8B40R","con1",267,536,6,2,6,2,3,2,5,6,2,NA,3,3,2,1,1,1,3,4,2,3,1,1,1,2,1,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,2,3,1,3,1,1,1,1,1,3,1,3,5,1,2,4,6,7,8,9,10,NA,14,1,1,1,1,3,2,1,2,3,4,3,5,3,5,3,4,5,3,14.691,5.463,6.378,6.824,9.648,6.244,4.31,6.644,4.672,4,2.643,29.04,180.022,10,1,1,0,0,0,0,0,0,0,0,6,59,4,1,3,5,6,3,6,24,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,90011,1,8,6,NA,2,"",1,NA,NA,NA,NA,1,"No issues","Chrome","92.0.4515.159","Windows NT 10.0","1440x900","7/14/22 14:17","8/16/21 17:39","7/14/22 14:21","8/16/21 17:48",1,1,1,1,0.808,1.876,2.477,3,"I thought about the graphs that were presented and how things were changing along with the other questions concerning going out to venues","",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,1,7,2,6,-0.590988446680527,"0",6,NA,NA,6,1,2,1,NA,1,1,1,17,0,0,0,0,0,1,4,4,3,3,17,7,7,24,-0.115851774658427,1,1,0,0,0,0,0,0,0,0,2,-2.25682367381889,-2,-0.448133329856708,-2,-0.307641123435552,-2,-1.22119376944356,-1,-0.0914315251897739,-2,-1.36914922343113,-2,0.083788690265609,-2,0.0650667841900569,1,0,-0.335962011131714,0,-0.252688492032209,0,-0.580264937352228,0,-0.508650450010121,0,-0.554456060258422,0,-0.170805777263717,0,-0.226220651346378,1,0,0,0,0,0,0,0,1,0,-0.566215291281673,1,0.173351613842453,0,0,1,0
