"","survey_id","id","assignment_id","duration_in_seconds","start_time","completion_time","approval_status","amount_paid","amount_bonused","estimated_cloud_research_fee","actual_completion_code","expected_completion_code","gender","gender_consistency","feedback","batch"
"1",313419,"A1WH32GYQOHIRQ","3NL0RFNU0JNAMWR2EK5M6BCG3LQK4B",1339,"8/16/21 19:56","8/16/21 20:18","Approved",4.5,0.5,0.45,"72KGM2ANN4","72KGM2ANN4","Female","100.00%",NA,"basep"
"2",313419,"A12FTSX85NQ8N9","3YJ6NA41JFG10573UJXY8UNYFSMPJ8",1529,"8/16/21 19:56","8/16/21 20:21","Approved",4.5,0.5,0.45,"72PYY3FN34","72PYY3FN34","Male","100.00%",NA,"basep"
"3",313419,"A2E0LU8V4EUX5C","3TS1AR6UQUEWPXH7F7CWTA4LMRZF7O",1612,"8/16/21 19:56","8/16/21 20:23","Approved",4.5,0.5,0.45,"72Z4CHE6T4","72Z4CHE6T4","Male","100.00%",NA,"basep"
"4",313419,"A8C3WNWRBWUXO","3Y9N9SS8L2BHQU2OMPEGSTPK5CXD36",1870,"8/16/21 19:56","8/16/21 20:27","Approved",4.5,0.5,0.45,"72DKG2BS944","72DKG2BS944","","",NA,"basep"
"5",313419,"A2BK45LZGGWPLX","3YT88D1N0CYP408YE603W6KAPLUK3Q",2351,"8/16/21 19:59","8/16/21 20:38","Approved",4.5,0.5,0.45,"72KA38C877","72KA38C877","Female","100.00%",NA,"basep"
"6",313419,"A28T38MOUG43YD","37WLF8U1WTQO1JVGX8Y139WUZCWK6W",1981,"8/16/21 20:25","8/16/21 20:58","Approved",4.5,0.5,0.45,"72KUYVWL77","72KUYVWL77","","",NA,"basep"
"7",313419,"A2JM9K709T1M0G","3O6CYIULEH10YUFYI4F77Q45P5NUW4",2436,"8/16/21 20:18","8/16/21 20:58","Approved",4.5,0.5,0.45,"72U57YHI34","72U57YHI34","Male","100.00%",NA,"basep"
"8",312402,"A26WVAVVE1RM47","384PI804XW1RBRM90SRMLUDD34G0SN",676,"8/16/21 23:05","8/16/21 23:17","Approved",5,0,0.499,"68GDRRXP64","68GDRRXP64","Female","100.00%",NA,"base1"
"9",312402,"ASF5V3K4IFP4K","3Z3ZLGNNSMUBF36TRBK0SSWJOSF3QW",684,"8/16/21 23:05","8/16/21 23:17","Approved",5,0,0.499,"683WB3MGZ2","683WB3MGZ2","","",NA,"base1"
"10",312402,"A2XTZPSPVEWTP7","3YT88D1N0CYP408YE603W6KAPMN3K4",723,"8/16/21 23:05","8/16/21 23:17","Approved",5,0,0.499,"683A38C864","683A38C864","Female","100.00%",NA,"base1"
