"","start_date_b","end_date_b","status_b","ip_address_b","progress_b","duration_in_seconds_b","finished_b","recorded_date_b","response_id_b","recipient_last_name_b","recipient_first_name_b","recipient_email_b","external_reference_b","location_latitude_b","location_longitude_b","distribution_channel_b","user_language_b","consent_b","consent_t_first_click_b","consent_t_last_click_b","consent_t_page_submit_b","consent_t_click_count_b","id","sns1_b","sns2_b","sns3_b","sns4_b","sn_sp1_first_click_b","sn_sp1_last_click_b","sn_sp1_page_submit_b","sn_sp1_click_count_b","sn_sp2_first_click_b","sn_sp2_last_click_b","sn_sp2_page_submit_b","sn_sp2_click_count_b","sns5_b","sns6_b","sns7_b","sns8_b","nfc1_b","nfc2_b","nfc3_b","nfc4_b","nfc5_b","nfc6_b","q119_first_click_b","q119_last_click_b","q119_page_submit_b","q119_click_count_b","ccr1_b","ccr2_b","ccr3_b","ccr4_b","ccr5_b","ccr6_b","q127_first_click_b","q127_last_click_b","q127_page_submit_b","q127_click_count_b","nse1_b","nse2_b","nse3_b","nse4_b","nse5_b","nse6_b","q120_first_click_b","q120_last_click_b","q120_page_submit_b","q120_click_count_b","q22_b","q47_b","q3_b","q65_b","q37_b","q49_b","q4a_b","q66_b","q40_b","q25_b","q10_b","q2a_b","q2b_b","q18_b","q4b_b","q121_first_click_b","q121_last_click_b","q121_page_submit_b","q121_click_count_b","onsac_b","q122_first_click_b","q122_last_click_b","q122_page_submit_b","q122_click_count_b","math_conf_b","math_place_1_b","rav_training_b","q123_first_click_b","q123_last_click_b","q123_page_submit_b","q123_click_count_b","ravens_rt_first_click_b","ravens_rt_last_click_b","ravens_rt_page_submit_b","ravens_rt_click_count_b","ravens1_b","ravens2_b","ravens3_b","ravens4_b","ravens5_b","ravens6_b","ravens7_b","ravens8_b","ravens9_b","ravens10_b","rav_conf_b","rav_place_1_b","vocabp_b","vocab_test_p1_time_first_click_b","vocab_test_p1_time_last_click_b","vocab_test_p1_time_page_submit_b","vocab_test_p1_time_click_count_b","vocab_test_p1_4_b","vocab_test_p1_8_b","vocab_test_p1_10_b","vocab_test_p1_11_b","vocab_test_p1_12_b","vocab_test_p1_15_b","vocab_test_p2_19_b","vocab_test_p2_22_b","vocab_test_p2_25_b","vocab_test_p2_26_b","vocab_test_p2_33_b","vocab_test_p2_36_b","vocab_conf_b","vocab_place_1_b","verb_log_ac_b","verb_log1_b","verb_log2_b","verb_log3_b","verb_log4_b","q124_first_click_b","q124_last_click_b","q124_page_submit_b","q124_click_count_b","verb_conf_b","verb_place_1_b","pk1_b","q125_first_click_b","q125_last_click_b","q125_page_submit_b","q125_click_count_b","pk2_b","pk3_b","pk4_b","pk5_b","q126_first_click_b","q126_last_click_b","q126_page_submit_b","q126_click_count_b","p_kconf_b","q215_1_b","aot1_b","aot2_b","aot4_b","aot5_b","aot6_b","aot7_b","q128_first_click_b","q128_last_click_b","q128_page_submit_b","q128_click_count_b","v1_b","v2_1_b","v2_4_b","v2_5_b","v2_6_b","v2_7_b","v2_8_b","v2_9_b","v2_11_b","v2_10_b","v2_10_text_b","v3_b","v4_b","v5_1_b","v5_10_b","v5_4_b","v5_5_b","v5_6_b","v5_7_b","v5_8_b","v5_11_b","v5_9_b","v5_9_text_b","v6_b","v7_1_b","v7_4_b","v7_5_b","v7_6_b","v8_b","v10_b","v11_b","v12_b","v13_b","flutimes_b","dem_age_b","dem_gender_1_b","dem_gender_2_b","dem_gender_5_b","dem_gender_3_b","dem_gender_4_b","dem_gender_3_text_b","dem_race_1_b","dem_race_2_b","dem_race_3_b","dem_race_4_b","dem_race_5_b","dem_race_6_b","dem_race_7_b","dem_race_8_b","dem_race_9_b","dem_race_8_text_b","dem_lang_b","dem_ed_b","dem_zip_b","dem_h_hnum_b","dem_inc_b","dem_annes_id_b","dem_annes_id2_b","dem_annes_party_b","dem_annes_party_4_text_b","dem_annes_party_str_b","dem_annes_party_lean_b","dem_cheat_8_b","dem_cheat_10_b","dem_cheat_11_b","dem_cheat_9_b","dem_conf_b","dem_meta_info_browser_b","dem_meta_info_version_b","dem_meta_info_operating_system_b","dem_meta_info_resolution_b","worker_id_b","num_score_b","numz_b","num_rank_b"
"1","8/16/21 14:02","8/16/21 14:14","0","68.113.78.168","100","770","1","8/16/21 14:14","R_3KJdPLGOTMDUN2Z","","","","","34.1894989","-86.19329834","anonymous","EN","1","","","","","A1WH32GYQOHIRQ","4","5","6","6","1.974","6.778","8.013","4","7.142","11.4","12.456","4","5","6","6","5","13","15","11","12","14","15","2.122","11.033","11.867","6","11","10","3","1","11","11","5.548","6.21","6.93","2","5","5","4","1","7","1","2.685","14.079","16.1","6","70","268","","","20","","","","","200","","","","","","","","","","5","0","0","6.751","0","3","39","4","19.824","19.824","21.781","1","17.722","160.58","180.02","8","0","1","1","1","0","0","0","0","","","3","29","1","9.234","78.462","80.113","13","0","1","0","1","1","0","1","1","1","1","1","1","8","65","1","3","3","3","2","11.067","33.87","36.07","5","4","70","17","2.401","2.401","3.684","1","6","2","1","1","5.649","30.638","32.376","5","3","91","6","7","1","1","2","1","2.774","13.65","14.458","6","1","","","","","","","","","","","4","1","","","","","","","","","","","6","","","","1","8","1","4","6","1","9","56","","1","","","","","1","","","","","1","","","","","1","3","35016","0","2","3","","3","","","","","","","1","None at all.","Chrome","92.0.4515.131","Macintosh","1920x1200","A1WH32GYQOHIRQ","4","-0.523","30.05%"
"2","8/16/21 14:10","8/16/21 14:22","0","67.83.158.146","100","753","1","8/16/21 14:22","R_2dopDdSGXuvgjkD","","","","","41.14619446","-73.99659729","anonymous","EN","1","","","","","A2E0LU8V4EUX5C","2","4","4","6","4.156","10.452","11.251","4","6.418","20.106","20.762","4","4","6","6","5","11","11","14","15","11","11","2.816","12.816","16.896","6","3","9","11","9","3","4","6.693","8.285","9.277","2","3","5","5","3","7","2","4.348","16.699","17.9","7","75","268","","","20","","","","","80","","","","","","","","","","5","1.567","1.567","8.414","1","4","60","4","14.962","21.252","22.413","2","7.972","123.084","180.114","12","1","1","1","1","1","1","0","0","0","0","6","40","1","11.767","77.591","78.224","13","0","0","1","1","0","0","1","1","1","1","1","1","7","35","1","2","3","1","2","4.036","38.268","39.603","6","3","40","17","2.186","2.186","3.144","1","6","4","1","1","1.716","20.397","21.283","5","3","80","4","7","1","4","6","4","3.885","13.845","14.54","7","2","","1","","","","","1","","","","","","","","","","","","","","","","8","","","","1","6","8","6","5","","0","28","1","","","","","","1","","","","","","","","","","1","5","10956","0","2","6","","2","","2","","","","","1","none it was clear.","Chrome","92.0.4515.131","Windows NT 10.0","1536x864","A2E0LU8V4EUX5C","5","0.067","52.67%"
"3","8/16/21 14:01","8/16/21 14:37","0","184.2.68.16","100","2172","1","8/16/21 14:37","R_2QRRmyb8VrWZT3G","","","","","36.76559448","-79.62390137","anonymous","EN","1","","","","","A2BK45LZGGWPLX","5","5","5","5","1.817","5.536","6.507","4","1.889","14.235","15.17","5","6","5","4","6","13","14","12","13","14","14","1.913","12.621","13.661","6","11","8","3","2","10","7","3.571","6.195","7.272","2","6","6","6","6","3","5","3.875","28.613","29.46","6","90","","80","","","","","","","","18","","","","50","4.397","10.259","13.466","2","5","4.841","4.841","12.394","1","3","60","4","346.077","346.077","347.479","1","12.049","134.473","180.11","7","1","1","1","1","1","1","1","","","","4","51","1","2.255","98.817","102.689","12","1","1","0","1","1","1","1","1","1","1","1","1","8","62","1","2","3","1","2","13.176","42.462","43.77","5","5","59","16","1.817","1.817","2.756","1","6","1","1","1","2.109","13.238","22.168","4","4","51","6","6","2","2","2","2","3.797","11.454","13.18","6","1","","","","","","","","","","","1","1","","","","","","","","","","","5","","","","1","8","5","4","6","4","0","65","","","1","","","","1","","","","","","","","","","1","7","22903","2","11","1","","1","","1","","","","","1","","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","A2BK45LZGGWPLX","6","0.843","80.04%"
"4","8/16/21 14:25","8/16/21 14:57","0","192.24.121.143","100","1960","1","8/16/21 14:57","R_1EYTxupqhN0S3Ma","","","","","27.42489624","-97.8411026","anonymous","EN","1","","","","","A28T38MOUG43YD","5","5","6","6","1.452","6.095","6.359","14","0.383","3.677","4.035","9","6","6","5","6","15","14","11","11","15","15","0.267","15.946","16.273","10","9","11","1","1","11","8","2.846","264.278","264.495","5","7","7","6","6","1","6","5.833","13.775","16.108","13","90","","90","","","","","","","","18","","","","55","21.498","40.02","42.9","2","5","0.994","6.784","8.653","2","4","76","4","8.768","8.768","9.353","1","1.036","166.505","181.235","16","1","1","1","1","1","1","1","1","0","1","9","91","1","3.62","58.843","61.318","16","0","1","1","0","0","0","0","1","1","1","1","1","5","43","1","3","3","1","1","3.172","44.369","45.225","5","4","82","16","1.129","2.113","2.313","3","6","2","1","1","0.644","13.388","14.154","6","4","81","6","7","1","6","2","1","2.261","19.939","20.242","21","1","","","","","","","","","","","1","1","","","","","","","","","","","4","","","","1","8","4","1","6","1","8","25","1","","","","","","","","1","","","","","","","","1","3","78363","3","8","1","","1","","2","","","","","1","None","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","A28T38MOUG43YD","6","0.843","80.04%"
"5","8/16/21 17:06","8/16/21 17:16","0","73.61.11.131","100","622","1","8/16/21 17:16","R_2dyCZhuXRo0n3M7","","","","","42.29040527","-71.07119751","anonymous","EN","1","2.567","2.567","3.057","1","ASF5V3K4IFP4K","2","4","5","5","1.906","5.645","6.187","4","1.715","11.658","11.958","5","5","5","5","6","14","15","12","12","15","14","1.165","9.196","9.605","8","11","11","1","2","11","9","4.55","6.3","7.297","2","2","6","5","4","3","4","2.48","13.309","13.969","8","85","263","","14","","25","","","","","","","","","","","","","","5","0.665","0.665","5.04","1","2","41","4","11.373","13.9","14.317","2","4.254","175.786","181.108","14","0","1","0","1","1","0","1","0","1","0","5","60","1","2.877","51.782","52.693","24","0","0","1","1","1","0","1","1","1","1","1","1","10","88","1","2","3","3","2","3.52","31.189","31.785","16","3","65","15","2.14","2.14","3.17","1","6","4","1","1","0.949","11.293","11.837","9","2","37","5","6","3","3","2","3","2.092","14.814","15.222","12","1","","","","","","","","","","","4","1","","","","","","","","","","","7","","","","1","8","4","1","6","1","9","28","1","","","","","","1","","","","","","","","","","1","5","2143","1","9","2","","1","","1","","","","","1","","Chrome","92.0.4515.131","Windows NT 10.0","1280x720","ASF5V3K4IFP4K","3","-1.058","14.50%"
"6","8/16/21 17:05","8/16/21 17:17","0","73.166.89.198","100","666","1","8/16/21 17:17","R_esQr32I3BGQ6nqV","","","","","29.74380493","-95.44219971","anonymous","EN","1","4.205","4.996","5.821","2","A26WVAVVE1RM47","6","6","6","6","2.729","5.353","6.579","4","3.506","5.999","7.142","4","6","6","6","6","14","15","15","15","15","15","0.479","5.543","7.955","7","10","10","9","10","10","10","0.588","1.376","2.077","3","5","6","6","6","4","6","0.24","12.744","14.174","9","50","268","","","20","","","","","80","","","","","","","","","","5","0.871","3.742","10.109","3","5","90","4","11.527","11.527","12.426","1","10.73","155.2","180.031","11","1","1","1","1","1","0","0","0","0","0","8","82","1","2.95","107.481","120.339","12","1","1","1","1","0","0","0","1","1","1","","","10","75","1","2","3","1","2","9.445","41.892","43.656","5","5","87","16","1.816","2.88","3.645","2","6","3","1","1","1.288","24.444","25.199","7","4","87","6","6","5","6","6","5","1.419","6.323","6.988","9","2","","1","","","1","","","","","","","","","","","","","","","","","","6","","","","1","5","6","6","4","","3","27","","","1","","","","1","","","","","","","","","","1","4","77036","2","5","3","","1","","2","","","","","1","","Chrome","92.0.4515.131","Windows NT 10.0","1536x864","A26WVAVVE1RM47","5","0.067","52.67%"
"7","8/16/21 17:07","8/16/21 17:17","0","104.224.29.135","100","618","1","8/16/21 17:17","R_3MhXCUAjuslqe3Z","","","","","39.01800537","-77.53900146","anonymous","EN","1","5.928","5.928","6.843","1","A2XTZPSPVEWTP7","5","1","5","2","4.023","4.023","7.83","1","0","0","3.647","0","4","3","6","1","13","11","13","12","13","13","0","0","4.863","0","4","2","1","1","4","3","0","0","3.767","0","3","1","1","3","2","6","0","0","4.988","0","3","3","","7","","","","22","","","","","","","","","","","","3","1.108","1.108","4.282","1","0","0","4","13.088","24.791","25.165","3","4.021","70.029","180.132","11","1","1","1","0","0","0","0","0","0","0","5","81","1","2.856","51.528","53.288","13","1","0","0","1","0","1","0","0","0","1","0","0","4","0","1","1","1","3","1","4.656","26.23","27.116","6","2","75","16","2.025","2.025","3.278","1","2","4","1","1","2.065","15.353","19.105","5","3","51","6","4","6","7","6","4","1.33","6.474","7.41","6","1","","","","","","","","","","","1","1","","","","","","","","","","","7","","","","1","6","8","7","1","","5","25","1","","","","","","1","","","","","","","","","","1","5","37013","3","6","1","","1","","1","","","","","1","","Chrome","92.0.4515.131","Windows NT 6.3","1280x720","A2XTZPSPVEWTP7","1","-2.569","0.51%"
"8","8/16/21 17:07","8/16/21 17:17","0","73.144.209.175","100","585","1","8/16/21 17:17","R_3rV2QNflORyM2O2","","","","","42.76060486","-84.5562973","anonymous","EN","1","5.299","5.299","6.505","1","AB8BRFF4ZTZ40","4","5","6","6","2.879","4.834","5.598","4","1.401","9.469","10.262","4","5","5","6","5","12","12","14","14","12","12","3.044","8.621","9.157","7","7","6","6","6","7","5","1.602","3.579","4.17","2","5","7","5","4","3","4","1.618","8.116","8.606","6","90","","90","","","","","","","","12","","","16","","0.837","0.837","13.827","1","5","0.676","3.327","3.601","2","3","67","4","6.667","6.667","8.018","1","8.841","73.774","181.699","14","0","1","1","0","1","1","1","0","0","0","4","55","1","5.291","44.189","44.873","13","0","0","1","0","0","0","1","1","1","0","0","0","6","54","1","3","3","1","1","6.879","36.353","37.818","6","3","71","15","1.086","1.086","1.673","1","6","4","4","4","0.748","9.173","9.809","4","2","47","5","6","4","4","4","3","2.654","12.461","12.974","9","2","","1","","","","","","","","","","","","","","","","","","","","","4","","","","1","6","6","4","4","","2","23","1","","","","","","","","","1","","","","","","","1","5","48906","1","8","5","","2","","2","","","","","1","","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","AB8BRFF4ZTZ40","5","-0.113","45.50%"
"9","8/16/21 17:06","8/16/21 17:17","0","47.35.244.14","100","684","1","8/16/21 17:17","R_2QxDU9QuEwBTS7C","","","","","35.35209656","-75.51039886","anonymous","EN","1","2.734","3.449","4.578","2","A3IR7DFEKLLLO","5","6","6","6","1.696","8.392","9.204","8","1.587","8.677","9.457","6","5","5","5","4","14","15","12","13","14","14","1.298","11.474","12.547","10","5","8","4","4","6","7","3.589","5.691","6.56","2","6","6","5","6","3","4","2.296","12.296","13.782","11","90","","80","","","","","","","","8","","","24","","15.036","18.033","19.953","2","5","1.96","1.96","4.365","1","4","68","4","3.136","5.929","6.616","3","4.806","174.492","180.129","28","1","1","1","1","1","0","0","0","1","1","7","72","1","3.008","61.896","63.084","23","0","1","1","0","1","0","1","1","1","1","0","1","8","71","1","2","3","1","2","2.674","25.239","26.274","9","5","88","16","1.289","1.289","3.159","1","6","1","1","1","1.752","13.524","14.251","9","3","51","5","5","3","6","5","3","2.301","14.304","15.315","11","1","","","","","","","","","","","5","","","","","","","","","","","","4","","","1","","7","5","4","4","","0","44","1","","","","","","1","","","","","","","","","","1","5","14617","0","5","5","","2","","2","","","","","1","None","Firefox","91","Windows NT 10.0","1536x864","A3IR7DFEKLLLO","6","0.51","69.50%"
"10","8/16/21 17:06","8/16/21 17:17","0","212.162.148.91","100","703","1","8/16/21 17:17","R_24NqGmU2JVPnmHf","","","","","41.87770081","-87.63760376","anonymous","EN","1","8.992","8.992","10.897","1","A35S5YV2XL971J","4","5","5","4","1.799","4.471","5.298","4","0.902","3.324","3.873","4","3","5","4","3","14","13","14","14","13","14","1.56","5.783","7.35","7","7","10","9","7","7","9","0.98","1.582","2.323","2","5","6","5","5","6","5","0.941","10.376","10.995","7","40","220","","10","","","","74","","","","","","","","","","","","5","0.965","10.038","12.498","2","3","98","4","5.839","5.839","7.887","1","5.472","162.953","180.178","34","1","1","1","1","1","0","0","0","1","0","5","85","1","9.862","55.29","56.191","17","0","0","1","0","0","0","0","1","0","0","0","0","6","88","1","2","2","4","3","6.383","36.755","37.936","7","5","97","17","3.195","3.195","4.428","1","6","4","1","1","1.028","13.647","14.548","5","4","98","4","6","5","4","5","5","1.275","5.637","7.422","6","1","","","","","","","","","","","1","2","1","","","","","","","","","","6","1","","","","6","7","7","4","","5","29","1","","","","","","1","","","","","","","","","","1","5","90201","3","9","6","","1","","1","","","","","1","Nothing","Chrome","92.0.4515.131","Windows NT 10.0","1920x1080","A35S5YV2XL971J","2","-1.98","2.39%"
